AÑO,MES,UBIGEO_HECHO,DPTO_HECHO,PROV_HECHO,DIST_HECHO,SEXO,RANGO_EDAD,NACIONALIDAD,CANTIDAD
2023,06,250106,UCAYALI,CORONEL PORTILLO,NUEVA REQUENA,M,12-17 AÑOS,PERÚ,1
2019,03,150135,LIMA METROPOLITANA,LIMA,SAN MARTIN DE PORRES,M,6-11 AÑOS,PERÚ,2
2025,09,050110,AYACUCHO,HUAMANGA,SAN JUAN BAUTISTA,F,12-17 AÑOS,PERÚ,1
2019,02,150104,LIMA METROPOLITANA,LIMA,BARRANCO,F,12-17 AÑOS,PERÚ,2
2022,03,150128,LIMA METROPOLITANA,LIMA,RIMAC,M,60 A MAS AÑOS,PERÚ,1
2021,03,150507,REGIÓN LIMA,CAÑETE,IMPERIAL,M,12-17 AÑOS,PERÚ,1
2022,10,150132,LIMA METROPOLITANA,LIMA,SAN JUAN DE LURIGANCHO,M,18-29 AÑOS,PERÚ,5
2020,07,150103,LIMA METROPOLITANA,LIMA,ATE,M,12-17 AÑOS,PERÚ,2
2023,08,040101,AREQUIPA,AREQUIPA,AREQUIPA,M,30-59 AÑOS,PERÚ,5
2023,03,131202,LA LIBERTAD,VIRU,CHAO,F,18-29 AÑOS,PERÚ,1
2023,07,160101,LORETO,MAYNAS,IQUITOS,F,6-11 AÑOS,PERÚ,1
2025,01,130208,LA LIBERTAD,ASCOPE,CASA GRANDE,M,30-59 AÑOS,PERÚ,1
2021,07,120303,JUNÍN,CHANCHAMAYO,PICHANAQUI,F,18-29 AÑOS,PERÚ,1
2024,12,080107,CUSCO,CUSCO,SAYLLA,M,30-59 AÑOS,PERÚ,1
2025,04,110108,ICA,ICA,SALAS,F,12-17 AÑOS,PERÚ,2
2022,04,120101,JUNÍN,HUANCAYO,HUANCAYO,M,12-17 AÑOS,PERÚ,3
2021,01,040103,AREQUIPA,AREQUIPA,CAYMA,F,18-29 AÑOS,PERÚ,2
2024,09,131006,LA LIBERTAD,SANTIAGO DE CHUCO,QUIRUVILCA,M,18-29 AÑOS,PERÚ,1
2025,03,150135,LIMA METROPOLITANA,LIMA,SAN MARTIN DE PORRES,M,18-29 AÑOS,PERÚ,2
2019,07,160101,LORETO,MAYNAS,IQUITOS,M,12-17 AÑOS,PERÚ,3
2025,05,020101,ÁNCASH,HUARAZ,HUARAZ,M,18-29 AÑOS,PERÚ,1
2024,01,220101,SAN MARTÍN,MOYOBAMBA,MOYOBAMBA,M,30-59 AÑOS,PERÚ,1
2025,05,100401,HUÁNUCO,HUACAYBAMBA,HUACAYBAMBA,M,18-29 AÑOS,PERÚ,1
2022,12,140106,LAMBAYEQUE,CHICLAYO,LA VICTORIA,F,6-11 AÑOS,PERÚ,1
2023,06,200602,PIURA,SULLANA,BELLAVISTA,F,18-29 AÑOS,PERÚ,1
2022,03,200115,PIURA,PIURA,26 DE OCTUBRE,M,60 A MAS AÑOS,PERÚ,1
2023,04,240101,TUMBES,TUMBES,TUMBES,F,12-17 AÑOS,VENEZUELA,1
2022,06,090706,HUANCAVELICA,TAYACAJA,DANIEL HERNANDEZ,M,18-29 AÑOS,PERÚ,2
2024,07,050103,AYACUCHO,HUAMANGA,ACOS VINCHOS,F,12-17 AÑOS,PERÚ,1
2023,03,080904,CUSCO,LA CONVENCION,MARANURA,M,12-17 AÑOS,PERÚ,1
2020,12,240102,TUMBES,TUMBES,CORRALES,F,12-17 AÑOS,PERÚ,2
2019,07,150119,LIMA METROPOLITANA,LIMA,LURIN,F,18-29 AÑOS,PERÚ,1
2025,01,130101,LA LIBERTAD,TRUJILLO,TRUJILLO,F,18-29 AÑOS,PERÚ,3
2024,04,120101,JUNÍN,HUANCAYO,HUANCAYO,F,18-29 AÑOS,PERÚ,3
2024,12,120601,JUNÍN,SATIPO,SATIPO,F,30-59 AÑOS,PERÚ,2
2021,08,080908,CUSCO,LA CONVENCION,SANTA TERESA,M,0-5 AÑOS,PERÚ,1
2021,11,150120,LIMA METROPOLITANA,LIMA,MAGDALENA DEL MAR,M,18-29 AÑOS,PERÚ,1
